airport_1,airport_2,a,b,year_coeff,quarter_1_coef,quarter_2_coef,quarter_3_coef,quarter_4_coef,Route_Cost,nsmiles
PHX,SAN,2.01e-25,-0.096307001,0.030327869,-0.020976088,-0.006666851,0.02386035,0.00378259,53.22128,304
BOS,EYW,2.04e-05,-0.62140479,0.006503795,0.031215658,-0.138118341,0.0,0.106902683,244.39772,1396
BOS,EWR,24806.54629,0.061817469,-0.002213647,-0.00886366,0.036894902,-0.014476468,-0.013554774,36.58963,209
BOS,ISP,1.12e-16,0.028500463,0.020961002,-0.032430338,0.074438141,-0.04442056,0.002412757,36.58963,209
BOS,JFK,4.89e-16,0.132450096,0.020390885,-0.048744233,0.036418444,0.025938501,-0.013612712,36.58963,209
BOS,LGA,2.57e-17,-0.04343649,0.021378714,-0.028009222,0.014783224,0.017429847,-0.00420385,36.58963,209
BOS,ROC,1482991.259,0.596819982,-0.00289905,-0.05752892,0.052898302,0.011855655,-0.007225036,60.04901,343
AUS,PVD,2.62e-15,-0.126334125,0.019128754,0.011148155,0.026241721,-0.030038363,-0.007351514,296.74365,1695
BOS,TUS,3.173101236,0.100447554,0.002468813,0.023505748,0.031888064,-0.051151067,-0.004242745,400.73523,2289
PHX,DCA,0.107402884,-0.121585014,0.003577658,0.025796788,-0.000951303,-0.014888073,-0.009957413,349.78986000000003,1998
PHX,OAK,1.44e-22,-0.265012283,0.026551591,-0.023192884,0.00360918,0.029446636,-0.009862932,113.97057,651
LAX,MCO,5.981437611,0.081663036,0.002123593,0.020573869,0.018295091,-0.045586305,0.006717345,388.13019,2217
LAX,STL,0.004282465,0.03224784,0.005530018,0.010929963,-0.00904412,-0.009192326,0.007306483,278.88651,1593
LAS,ISP,1.18e-08,0.07466643,0.011877841,-0.046957476,0.01477054,0.021380123,0.010806814,399.68481,2283
LAS,EWR,1.26e-09,-0.014585693,0.012879594,0.024354529,0.028299941,-0.046199363,-0.006455108,399.68481,2283
BOS,MEM,2.73e-07,0.354701882,0.011191026,-0.021290521,0.050171571,-0.003513333,-0.025367717,199.40473,1139
LAS,MIA,1.06e-12,0.157831284,0.016930146,0.026294636,0.001306934,-0.041131267,0.013529697,380.77725,2175
LAS,JFK,2.52e-20,0.009110204,0.025201207,0.013234433,0.013862779,-0.009295295,-0.017801917,399.68481,2283
LAX,MIA,0.216658134,-0.009111246,0.003559281,0.049517023,-0.009330887,-0.0525016,0.012315464,410.01394,2342
LAX,PHX,2.15e-25,-0.124207308,0.030141612,-0.000614107,-0.015871114,0.005965922,0.010519299,68.62744,392
AUS,IAH,7.72e-35,0.169784501,0.041961606,-0.005781511,0.015533188,-0.011264651,0.001512974,28.0112,160
AUS,HOU,8.099999999999999e-23,0.237872016,0.028383119,-0.000201961,0.02368749,0.002528277,-0.026013806,27.31092,156
AUS,MDW,157197.131,-0.104056738,-0.003621186,0.039002042,0.013339225,-0.021268306,-0.031072961,171.21846,978
BOS,FLL,5e-10,-0.019010167,0.013106555,0.05844927,0.013106967,-0.090995875,0.019439637,224.78988,1284
LAS,HPN,5.88e-07,0.085525359,0.010056433,0.001921413,0.026983351,-0.043856084,0.01495132,399.68481,2283
LAX,FLL,1.05e-10,0.120749356,0.014538686,0.030352087,-0.004096349,-0.055683502,0.029427763,410.01394,2342
LAX,MSP,578.2086847,0.028066813,-0.00038673,0.043067806,-0.013550055,-0.025329081,-0.00418867,268.90752,1536
PHX,SFO,5.75e-17,0.003331282,0.021083484,-0.007717052,7.87e-05,-0.012717386,0.020355769,113.97057,651
LAX,PHL,3.005081672,0.163989535,0.002850099,-0.019298373,0.00460576,0.011962816,0.002729796,420.34307,2401
AUS,SNA,2.45e-05,0.003323411,0.007951059,0.019712262,0.010323289,-0.028954703,-0.001080847,216.73666,1238
BOS,MYR,9.76e-06,0.005623157,0.008159496,-0.013139822,0.049853162,-0.022215115,-0.014498225,132.52799,757
BOS,RSW,2.59e-18,0.033027808,0.022830409,0.064630023,0.055534465,-0.130917268,0.010752779,222.68904,1272
LAS,PHF,3.57e-23,0.031713132,0.028494943,-0.026296927,0.042630131,-0.008438698,-0.007894506,377.27585,2155
AUS,BWI,3.61e-12,-0.089544575,0.015490909,0.006676942,0.006759498,-0.008626314,-0.004810125,234.5938,1340
AUS,ORD,3.711717935,-0.034036443,0.001893091,0.058314787,0.002221058,-0.044158902,-0.016376942,171.21846,978
BOS,SWF,0.002051573,0.316228627,0.005840929,0.083327275,-0.13931802,0.027512713,0.028478032,36.58963,209
BOS,BNA,66.05003431,0.059810286,0.000718215,-0.00323763,0.037812286,-0.014356643,-0.020218013,165.09101,943
LAS,FLL,0.010908697,0.015615525,0.004897984,0.034276212,0.002842095,-0.046850272,0.009731965,380.77725,2175
LAS,BUR,3.69e-25,-0.072762824,0.030067599,-0.009057625,0.007765494,-0.004261233,0.005553364,42.0168,240
LAS,LGA,5.02e-06,-0.043840518,0.008663025,0.042358756,-0.012983869,-0.065726046,0.03635116,399.68481,2283
BOS,STL,190928158.8,-0.054396291,-0.006885797,0.042644853,0.008594085,-0.023264379,-0.027974559,183.12322,1046
AUS,MIA,265226.3939,0.037443315,-0.003429981,0.048343706,0.002442436,-0.06063952,0.009853377,193.97756,1108
AUS,LGB,5103.193209,0.025460835,-0.001637298,-0.016208703,0.00562106,-0.012036018,0.02262366,216.73666,1238
BOS,MIA,0.000269188,-0.062433575,0.006495739,0.05015894,-0.005837476,-0.044788633,0.00046717,224.78988,1284
BOS,PHL,477.7166334,0.171087506,9.51e-05,0.017638707,0.040678159,-0.041997796,-0.01631907,50.7703,290
LAX,MSY,5.32e-07,0.093399415,0.010184841,0.025102403,0.036378703,-0.052833267,-0.008647838,292.54197,1671
PHX,SJC,8.829999999999999e-23,-0.170567252,0.027161154,-0.009000755,0.01498832,0.004967745,-0.010955309,113.97057,651
AUS,IAH,7.72e-35,0.169784501,0.041961606,-0.005781511,0.015533188,-0.011264651,0.001512974,27.31092,156
PHX,BWI,1.04e-15,0.094734196,0.020152642,-0.00234541,0.002899396,-0.011577284,0.011023298,349.78986000000003,1998
AUS,DAL,2.37e-37,-0.120902399,0.043960648,0.001388196,0.000313184,-0.003171215,0.001469834,32.03781,183
BOS,DAY,0.412255091,0.762629047,0.004877631,-0.19441591,0.12418018,0.080438594,-0.010202864,124.12463,709
BOS,BUF,2594.09291,0.465559045,-3.28e-05,-0.136085261,0.068823291,0.077458266,-0.010196296,69.32772,396
AUS,MHT,1.48e-16,-0.111836839,0.020618697,-0.014577407,0.03636491,-0.026789249,0.005001745,296.74365,1695
LAX,SDF,1.9e-11,0.265887987,0.015689845,-0.0530896,0.068783444,-0.002717867,-0.012975977,322.47894,1842
AUS,HOU,8.099999999999999e-23,0.237872016,0.028383119,-0.000201961,0.02368749,0.002528277,-0.026013806,28.0112,160
LAS,ORF,7.68e-22,0.019299747,0.02692454,-0.023538414,0.040299254,-0.002536057,-0.014224782,377.27585,2155
AUS,BUR,1.63e-10,0.083920859,0.014035541,0.000362902,-0.013202033,-0.017474882,0.030314014,216.73666,1238
PHX,IAD,137.6304968,0.055392965,0.000555846,0.025816558,0.00346238,-0.031207869,0.001928932,349.78986000000003,1998
BOS,OMA,4.48e-14,0.032975696,0.018088782,2.78e-17,0.033721577,-0.002589904,-0.031131673,224.43974,1282
BOS,DEN,348768.3399,-0.040499581,-0.00375132,0.002742557,0.004784616,0.001113652,-0.008640825,309.17362,1766
AUS,ISP,1.58e-06,0.1230748,0.009502609,-0.050950276,0.029511233,0.01795512,0.003483923,272.40892,1556
AUS,PIE,48.83836036,0.11760797,0.000474624,0.003198759,-0.074796546,-0.116225964,0.187823751,162.46496,928
AUS,DCA,607520.9252,-0.138883616,-0.004240269,0.026972443,0.010371542,-0.022105267,-0.015238718,234.5938,1340
LAX,MRY,2.48e-18,0.824485698,0.024720712,-0.118950322,0.025396698,0.069115807,0.024437816,52.87114,302
AUS,ORD,3.711717935,-0.034036443,0.001893091,0.058314787,0.002221058,-0.044158902,-0.016376942,170.16804,972
LAS,SWF,1.91e-10,-0.045657432,0.013811751,-0.007923408,0.00065272,-0.018891575,0.026162263,399.68481,2283
AUS,SWF,1.84e+20,0.076349524,-0.020341278,-0.02109511,0.033145035,-0.007149275,-0.004900651,272.40892,1556
AUS,DFW,8.67e-25,-0.104912187,0.029722024,0.002472286,0.004032679,-0.016537321,0.010032356,32.03781,183
AUS,JFK,1.18e-06,0.054945504,0.00965158,0.001639049,0.024234723,-0.045197653,0.019323881,272.40892,1556
AUS,OAK,1.47e-05,-0.072987601,0.007991403,0.023432554,-0.007852567,-0.017496713,0.001916726,262.42993,1499
AUS,BOS,2.33e+18,-0.038395626,-0.018392961,0.017426402,0.028398901,-0.023732874,-0.02209243,296.74365,1695
LAX,MSN,2.4400000000000003e-27,0.706383459,0.034892635,-0.191790264,0.021819631,0.026523923,0.14344671,295.34309,1687
BOS,MSN,9.88e-33,1.423465661,0.042799034,-2.78e-17,0.026568596,0.0375319,-0.064100496,163.16524,932
AUS,FLL,168916000000.0,-0.052014119,-0.010443594,0.04978416,-0.005924279,-0.059764772,0.015904891,193.97756,1108
LAX,STS,1.46e-22,0.016971441,0.027460181,-0.034200396,0.004598274,0.016397481,0.01320464,69.85293,399
AUS,HPN,1.22e+16,-0.006393037,-0.015612382,0.025082815,0.023808227,-0.039875175,-0.009015867,272.40892,1556
AUS,ONT,1.12e-10,0.22746275,0.014537929,-0.016530938,0.015458764,-0.010694862,0.011767035,216.73666,1238
AUS,EWR,5.24e+25,-0.078705419,-0.026894298,0.060302834,0.021085036,-0.033958641,-0.047429229,272.40892,1556
AUS,SJC,3.342029223,-0.145291751,0.001651229,0.008672382,0.014388924,0.003631806,-0.026693111,262.42993,1499
LAS,PHX,9.62e-20,-0.036071595,0.024016578,0.005325147,0.005158578,-0.016072234,0.005588509,44.81792,256
AUS,LGA,1372670000000.0,-0.039740607,-0.01126434,0.015058733,0.028447066,-0.022343088,-0.021162711,272.40892,1556
AUS,LAX,1.841352213,0.013570773,0.002362522,0.04991046,-0.010384643,-0.041806407,0.002280591,216.73666,1238
LAX,MIA,0.216658134,-0.009111246,0.003559281,0.049517023,-0.009330887,-0.0525016,0.012315464,411.23943,2349
AUS,SFO,1.747873433,-0.014598731,0.002389193,0.021030898,-0.005162485,-0.02038309,0.004514677,262.42993,1499
LAX,RDU,2.99e-11,0.190487652,0.01538799,-0.018652015,0.0164709,-0.007307474,0.009488589,391.80666,2238
AUS,MDW,157197.131,-0.104056738,-0.003621186,0.039002042,0.013339225,-0.021268306,-0.031072961,170.16804,972
LAX,FLL,1.05e-10,0.120749356,0.014538686,0.030352087,-0.004096349,-0.055683502,0.029427763,411.23943,2349
LAX,STS,1.46e-22,0.016971441,0.027460181,-0.034200396,0.004598274,0.016397481,0.01320464,74.05461,423
LAS,ONT,4.05e-22,0.040409735,0.026960247,-0.017307918,-0.00173008,0.009048227,0.00998977,42.0168,240
LAS,PHX,9.62e-20,-0.036071595,0.024016578,0.005325147,0.005158578,-0.016072234,0.005588509,44.64285,255
BOS,EYW,2.04e-05,-0.62140479,0.006503795,0.031215658,-0.138118341,0.0,0.106902683,244.57279,1397
PHX,SEA,9.230046643,-0.092075109,0.001104809,-0.004241484,0.002923948,-0.02698058,0.028298116,196.77868,1124
PHX,SLC,2.8e-06,-0.071148348,0.008627982,0.009575957,0.004766395,-0.00260908,-0.011733272,90.33612,516
LAS,SNA,2.33e-18,0.047632605,0.022736566,0.002550894,0.001040231,-0.00483918,0.001248055,42.0168,240
LAS,LGB,6.35e-11,-0.004337663,0.013901628,-0.015632979,0.008493902,0.006971654,0.000167422,42.0168,240
LAX,STS,1.46e-22,0.016971441,0.027460181,-0.034200396,0.004598274,0.016397481,0.01320464,70.028,400
